Plant_ID,Location,Energy_Source,Timestamp,Year,Month,Day,Hour,Installed_Capacity_MW,Energy_Produced_MWh,Efficiency_%,Temperature_C,Wind_Speed_mps,Solar_Irradiance_Wm2,Downtime_Hours,Maintenance_Cost,Voltage_V,Current_A,Power_Factor,Frequency_Hz,Humidity_%,Pressure_hPa,Grid_Status,Outage_Events
P5,Maharashtra,Wind,2024-01-01 00:00:00,2024,1,1,0,460.55,273.31,59.34,22.67,16.17,684.75,3,2245.88,227.81,27.52,0.86,50.13,85.4,1032.92,Inactive,3
P2,Maharashtra,Wind,2024-01-01 01:00:00,2024,1,1,1,268.6,132.87,49.47,26.05,7.83,811.72,0.56,1924.37,211.49,90.85,0.76,49.79,76.8,960.05,Inactive,0
P2,Gujarat,Solar,2024-01-01 02:00:00,2024,1,1,2,458.26,263.86,57.58,23.55,11.02,485.54,1.2,8832.62,216.81,67.74,0.86,50.3,50.12,1032.69,Inactive,3
P5,Rajasthan,Hydro,2024-01-01 03:00:00,2024,1,1,3,211.79,191.28,90.32,40.51,8.44,469.55,3.58,2721.29,222.63,38.5,0.89,49.53,40,1004.95,Inactive,0
P1,Gujarat,Wind,2024-01-01 04:00:00,2024,1,1,4,450.48,440.99,97.89,43.16,16.69,547.95,4.4,6092.35,216.6,89.98,0.71,49.63,45.89,996.78,Active,3
P3,Karnataka,Solar,2024-01-01 05:00:00,2024,1,1,5,450.6,393.38,87.3,31.83,6.73,805.12,1.46,5585.94,211.18,43.51,0.92,50.38,44.61,1028.99,Active,1
P4,Gujarat,Hydro,2024-01-01 06:00:00,2024,1,1,6,108.77,92.33,84.89,42.62,3.55,648.1,2.9,9422.87,215.12,55.8,0.91,50.03,41.1,1009.64,Active,2
P3,Karnataka,Solar,2024-01-01 07:00:00,2024,1,1,7,249.34,87.19,34.97,35.53,7.41,867.61,0.81,2625.58,216.75,59.23,0.93,49.58,93.77,951.86,Inactive,3
P4,Karnataka,Hydro,2024-01-01 08:00:00,2024,1,1,8,451.38,24.64,5.46,37.22,16.3,672.76,2.06,4833.49,210.07,53.05,0.92,50.07,38.13,977.34,Active,3
P4,Karnataka,Wind,2024-01-01 09:00:00,2024,1,1,9,435.61,303.08,69.58,30.23,12.85,408.28,4.73,4886.4,212.8,23.76,0.95,49.85,35.6,976.57,Inactive,2
